frequency,V(Bout) (Phase),V(Bout) (Verstaerkung),
10,172.794,-0.0867699,
10.2329,172.626,-0.0867701,
10.4713,172.454,-0.0867702,
10.7152,172.278,-0.0867703,
10.9648,172.098,-0.0867705,
11.2202,171.913,-0.0867706,
11.4815,171.725,-0.0867708,
11.749,171.532,-0.086771,
12.0226,171.334,-0.0867712,
12.3027,171.132,-0.0867714,
12.5893,170.925,-0.0867717,
12.8825,170.713,-0.086772,
13.1826,170.496,-0.0867723,
13.4896,170.274,-0.0867726,
13.8038,170.047,-0.086773,
14.1254,169.815,-0.0867734,
14.4544,169.577,-0.0867738,
14.7911,169.333,-0.0867744,
15.1356,169.084,-0.0867749,
15.4882,168.829,-0.0867756,
15.8489,168.568,-0.0867763,
16.2181,168.301,-0.0867771,
16.5959,168.027,-0.086778,
16.9824,167.747,-0.086779,
17.378,167.461,-0.0867802,
17.7828,167.167,-0.0867815,
18.197,166.867,-0.0867829,
18.6209,166.56,-0.0867846,
19.0546,166.245,-0.0867865,
19.4984,165.923,-0.0867886,
19.9526,165.593,-0.0867911,
20.4174,165.256,-0.0867938,
20.893,164.91,-0.0867969,
21.3796,164.557,-0.0868005,
21.8776,164.195,-0.0868046,
22.3872,163.824,-0.0868092,
22.9087,163.445,-0.0868145,
23.4423,163.056,-0.0868206,
23.9883,162.658,-0.0868274,
24.5471,162.251,-0.0868353,
25.1189,161.834,-0.0868443,
25.704,161.407,-0.0868546,
26.3027,160.97,-0.0868664,
26.9153,160.522,-0.0868799,
27.5423,160.064,-0.0868953,
28.1838,159.594,-0.086913,
28.8403,159.114,-0.0869332,
29.5121,158.621,-0.0869564,
30.1995,158.117,-0.0869829,
30.903,157.6,-0.0870134,
31.6228,157.071,-0.0870482,
32.3594,156.529,-0.0870882,
33.1131,155.974,-0.0871341,
33.8844,155.405,-0.0871867,
34.6737,154.823,-0.087247,
35.4813,154.226,-0.0873161,
36.3078,153.614,-0.0873955,
37.1535,152.987,-0.0874865,
38.0189,152.345,-0.0875909,
38.9045,151.686,-0.0877108,
39.8107,151.011,-0.0878483,
40.738,150.32,-0.0880061,
41.6869,149.611,-0.0881872,
42.658,148.884,-0.088395,
43.6516,148.138,-0.0886335,
44.6684,147.374,-0.0889073,
45.7088,146.59,-0.0892215,
46.7735,145.786,-0.0895822,
47.863,144.961,-0.0899961,
48.9779,144.115,-0.0904713,
50.1187,143.247,-0.0910167,
51.2861,142.356,-0.0916428,
52.4807,141.441,-0.0923614,
53.7032,140.502,-0.0931863,
54.9541,139.539,-0.0941331,
56.2341,138.549,-0.0952199,
57.544,137.532,-0.0964673,
58.8844,136.487,-0.0978989,
60.256,135.414,-0.0995421,
61.6595,134.311,-0.101428,
63.0957,133.177,-0.103592,
64.5654,132.011,-0.106075,
66.0693,130.812,-0.108925,
67.6083,129.579,-0.112194,
69.1831,128.309,-0.115945,
70.7946,127.003,-0.120248,
72.4436,125.658,-0.125183,
74.131,124.272,-0.130842,
75.8578,122.845,-0.13733,
77.6247,121.375,-0.144768,
79.4328,119.859,-0.153293,
81.2831,118.296,-0.16306,
83.1764,116.685,-0.174247,
85.1138,115.022,-0.187057,
87.0964,113.306,-0.201718,
89.1251,111.535,-0.218492,
91.2011,109.707,-0.237671,
93.3254,107.82,-0.259588,
95.4993,105.87,-0.284617,
97.7237,103.857,-0.313179,
100,101.777,-0.345743,
102.329,99.6288,-0.382834,
104.713,97.4103,-0.425033,
107.152,95.1196,-0.472986,
109.648,92.755,-0.527399,
112.202,90.3152,-0.589046,
114.815,87.7991,-0.658765,
117.49,85.2062,-0.737459,
120.226,82.5364,-0.826089,
123.027,79.7905,-0.92567,
125.893,76.9697,-1.03726,
128.825,74.0762,-1.16195,
131.826,71.113,-1.30083,
134.896,68.0843,-1.455,
138.038,64.9948,-1.62551,
141.254,61.8508,-1.81338,
144.544,58.659,-2.01951,
147.911,55.4275,-2.24471,
151.356,52.1649,-2.48966,
154.882,48.8805,-2.75485,
158.489,45.5841,-3.04061,
162.181,42.2857,-3.34708,
165.959,38.9956,-3.67419,
169.824,35.7236,-4.0217,
173.78,32.4792,-4.38915,
177.828,29.2714,-4.77595,
181.97,26.1084,-5.18133,
186.209,22.9974,-5.60442,
190.546,19.945,-6.04424,
194.984,16.9564,-6.49974,
199.526,14.036,-6.96986,
204.174,11.1872,-7.45349,
208.93,8.4126,-7.94953,
213.796,5.71371,-8.45691,
218.776,3.09146,-8.97461,
223.872,0.546063,-9.50163,
229.087,-1.92285,-10.0371,
234.423,-4.31611,-10.58,
239.883,-6.63495,-11.1297,
245.471,-8.88093,-11.6855,
251.189,-11.0558,-12.2465,
257.04,-13.1616,-12.8123,
263.027,-15.2005,-13.3823,
269.153,-17.1745,-13.956,
275.423,-19.0859,-14.533,
281.838,-20.937,-15.1128,
288.403,-22.7299,-15.6952,
295.121,-24.4669,-16.2797,
301.995,-26.1502,-16.8662,
309.03,-27.7818,-17.4545,
316.228,-29.3637,-18.0442,
323.594,-30.8978,-18.6352,
331.131,-32.3861,-19.2273,
338.844,-33.8304,-19.8205,
346.737,-35.2323,-20.4145,
354.813,-36.5935,-21.0093,
363.078,-37.9156,-21.6048,
371.535,-39.2,-22.2008,
380.189,-40.4481,-22.7973,
389.045,-41.6614,-23.3943,
398.107,-42.8411,-23.9916,
407.38,-43.9883,-24.5893,
416.869,-45.1043,-25.1873,
426.58,-46.1902,-25.7855,
436.516,-47.247,-26.384,
446.684,-48.2757,-26.9826,
457.088,-49.2773,-27.5814,
467.735,-50.2526,-28.1803,
478.63,-51.2026,-28.7794,
489.779,-52.1281,-29.3786,
501.187,-53.0298,-29.9779,
512.861,-53.9085,-30.5772,
524.807,-54.7649,-31.1766,
537.032,-55.5997,-31.7761,
549.541,-56.4136,-32.3756,
562.341,-57.2073,-32.9752,
575.44,-57.9812,-33.5748,
588.844,-58.736,-34.1745,
602.56,-59.4722,-34.7742,
616.595,-60.1905,-35.3739,
630.957,-60.8912,-35.9736,
645.654,-61.575,-36.5733,
660.693,-62.2422,-37.173,
676.083,-62.8933,-37.7728,
691.831,-63.5288,-38.3725,
707.946,-64.1491,-38.9723,
724.436,-64.7546,-39.5721,
741.31,-65.3458,-40.1718,
758.578,-65.9229,-40.7716,
776.247,-66.4865,-41.3714,
794.328,-67.0367,-41.9711,
812.831,-67.5741,-42.5709,
831.764,-68.0988,-43.1706,
851.138,-68.6113,-43.7704,
870.964,-69.1119,-44.3701,
891.251,-69.6008,-44.9699,
912.011,-70.0785,-45.5696,
933.254,-70.545,-46.1693,
954.993,-71.0009,-46.769,
977.237,-71.4462,-47.3687,
1000,-71.8813,-47.9683,
