Frequency [Hz], Amplitude [dB], Phase [deg]
10, -24.632816, -93.571281
12.115276586285882, -22.752638, -94.17321
14.677992676220699, -20.998398, -95.16037
17.78279410038923, -19.326759, -96.369476
21.544346900318832, -17.584053, -97.668274
26.10157215682536, -15.886811, -99.32328
31.622776601683793, -14.17944, -101.460312
38.311868495572874, -12.467371, -104.050758
46.41588833612777, -10.656689, -107.281326
56.23413251903491, -8.855118, -111.361771
68.12920690579611, -6.969905, -116.843575
82.54041852680182, -5.050648, -124.385246
100, -3.126246, -134.752167
121.15276586285876, -1.360598, -149.500366
146.7799267622069, -0.229693, -169.061523
177.82794100389228, -0.236975, 168.980515
215.44346900318823, -1.375784, 149.486099
261.0157215682536, -3.133398, 134.850861
316.22776601683796, -5.045816, 124.452866
383.1186849557285, -6.978278, 116.99247
464.15888336127773, -8.851901, 111.474312
562.341325190349, -10.64883, 107.299538
681.2920690579608, -12.457489, 104.047081
825.4041852680182, -14.175677, 101.433517
1000, -15.867563, 99.457405
